seq_length,hidden_size,dropout,lr,batch_size,num_layers,train_rmse,test_rmse,rmse_gap,test_pred_std,test_actual_std,test_std_ratio,county
9,8,0.0,0.0001,4,1,10.354386215016262,1.7829126072087884,-8.571473607807475,0.7291825182323051,1.7517647756513988,0.41625595420547057,Kern
9,16,0.2,0.0001,6,1,10.187430411983772,1.7972506712198641,-8.390179740763909,0.5741231890580603,1.7517647756513988,0.3277398866777481,Kern
6,64,0.4,0.0001,4,1,8.73414227535555,1.8169259332129497,-6.9172163421426,4.1863566615087295,4.662766479788639,0.897826790094471,Kern
9,64,0.2,0.0001,8,1,9.063146061935116,1.8201167772402107,-7.243029284694906,0.5310566713987486,1.7517647756513988,0.3031552402355354,Kern
9,32,0.3,0.0001,8,1,9.989502658796177,1.8258597269927332,-8.163642931803443,0.5924721192965476,1.7517647756513988,0.3382144266922111,Kern
12,8,0.2,0.0001,6,1,10.385632137354278,1.826511586200344,-8.559120551153935,0.7358510965780775,0.3211675795005199,2.291174899167823,Kern
12,8,0.1,0.0001,4,1,10.214805950498338,1.8283190742732311,-8.386486876225106,0.33210160864546584,0.3211675795005199,1.0340446229409288,Kern
12,8,0.0,0.001,4,1,3.974406735117746,1.8459961846456465,-2.1284105504720996,2.4260020682225854,0.3211675795005199,7.553695400997529,Kern
12,8,0.3,0.001,6,1,7.858705719372653,1.8471900210930001,-6.011515698279652,0.46351675929664143,0.3211675795005199,1.4432240016800673,Kern
12,8,0.1,0.001,4,2,5.435481697975857,1.849300790030554,-3.5861809079453026,1.2926053624532001,0.3211675795005199,4.024706866314032,Kern
9,8,0.2,0.0005,8,2,9.526704133831238,1.8523208458099905,-7.6743832880212475,0.27752286445697466,1.7517647756513988,0.15842473162743953,Kern
6,16,0.1,0.0005,8,2,9.034770277970406,1.881182805180172,-7.1535874727902335,3.189498290493236,4.662766479788639,0.6840356051109415,Kern
6,64,0.3,0.0001,4,1,8.878845516200427,1.888360305398968,-6.990485210801459,3.492423642304494,4.662766479788639,0.7490024768434906,Kern
6,32,0.0,0.0001,4,1,9.774837701434347,1.8942489347080191,-7.880588766726328,3.060771721614214,4.662766479788639,0.6564282673990909,Kern
12,64,0.3,0.005,4,2,2.8944265078509672,1.8950352563649087,-0.9993912514860586,1.2721500605198648,0.3211675795005199,3.9610164341566287,Kern
12,32,0.3,0.0005,8,1,5.13473596218781,1.9092480054110537,-3.2254879567767567,0.6196246347377982,0.3211675795005199,1.929287618947837,Kern
12,8,0.4,0.0001,8,1,10.115953776861094,1.911389412454547,-8.204564364406547,0.3130653110114731,0.3211675795005199,0.9747724583482323,Kern
9,8,0.2,0.001,4,1,4.128126851506273,1.9164098085688335,-2.211717042937439,1.5314277963011613,1.7517647756513988,0.8742199966497759,Kern
9,8,0.1,0.005,8,1,4.703873884908549,1.9212754318537753,-2.7825984530547734,2.301491459508693,1.7517647756513988,1.3138130709660358,Kern
12,32,0.1,0.005,4,1,2.6544452223059554,1.9357214972385324,-0.718723725067423,0.8365440079972534,0.3211675795005199,2.604696306203283,Kern
9,32,0.2,0.0001,8,2,9.965287544133366,1.940016886465404,-8.025270657667962,0.49069904544281634,1.7517647756513988,0.2801169724744285,Kern
9,8,0.0,0.0001,4,2,10.58474628099028,1.9402854283162903,-8.64446085267399,0.5785062994685918,1.7517647756513988,0.3302419979608692,Kern
12,8,0.4,0.0005,4,1,8.299681071618727,1.9657840638028956,-6.333897007815831,0.22913061234090257,0.3211675795005199,0.7134300812592812,Kern
9,16,0.1,0.0001,8,1,10.438191123570862,1.9670916432310173,-8.471099480339845,0.22153422316037483,1.7517647756513988,0.12646345344967716,Kern
6,16,0.2,0.0005,6,2,8.043275644852168,1.9747787290225771,-6.0684969158295905,3.289483870440353,4.662766479788639,0.7054790079449709,Kern
9,8,0.1,0.0005,6,2,8.522505202162272,1.9873620320815764,-6.535143170080695,0.5251034330691622,1.7517647756513988,0.29975681687851097,Kern
6,16,0.0,0.0005,6,2,7.264005864672413,1.990399908541769,-5.273605956130644,4.046880804710166,4.662766479788639,0.867914106840197,Kern
9,16,0.2,0.0005,8,1,5.788703478564898,1.9906553338330932,-3.798048144731805,1.0237383990759086,1.7517647756513988,0.584404032610616,Kern
12,16,0.1,0.001,4,2,4.796379338657563,1.9944458252154027,-2.801933513442161,0.8012638084202369,0.3211675795005199,2.494846490004885,Kern
9,64,0.0,0.0001,8,1,8.774282658051659,2.00035992698149,-6.773922731070169,1.00808787528334,1.7517647756513988,0.575469885737644,Kern
9,64,0.3,0.0001,8,2,9.195482744759016,2.0032726138150343,-7.192210130943981,0.583714885479005,1.7517647756513988,0.33321533438297896,Kern
12,16,0.0,0.0001,8,1,10.522828434379507,2.0040295375494006,-8.518798896830106,0.5833534554885277,0.3211675795005199,1.8163522494884432,Kern
9,16,0.3,0.001,6,2,4.442150793366227,2.0081976993043953,-2.4339530940618315,0.6921483960529823,1.7517647756513988,0.39511491820904143,Kern
9,8,0.0,0.0005,6,1,9.75675493835788,2.016701138758949,-7.740053799598931,0.8297694586744367,1.7517647756513988,0.4736763007270109,Kern
9,64,0.0,0.0001,4,2,5.769630533370069,2.0195761021444056,-3.7500544312256636,2.689838465757924,1.7517647756513988,1.5355020851801864,Kern
12,16,0.4,0.0005,8,2,6.957482712603119,2.0246585775032417,-4.932824135099878,0.19077853932099262,0.3211675795005199,0.5940155591597744,Kern
9,32,0.4,0.0001,6,2,10.14179599638509,2.029177696516666,-8.112618299868425,0.7288809113608763,1.7517647756513988,0.41608378104865124,Kern
9,16,0.4,0.0005,8,1,9.474529688893291,2.0302267945734673,-7.444302894319824,0.6920523642979184,1.7517647756513988,0.3950600982032971,Kern
9,8,0.1,0.0001,4,2,10.658696102551287,2.030368509531982,-8.628327593019305,1.231514269287345,1.7517647756513988,0.7030134903982203,Kern
9,16,0.0,0.0001,4,1,10.170911204209423,2.035369200488239,-8.135542003721184,0.31080093449089297,1.7517647756513988,0.1774216143690415,Kern
12,16,0.0,0.0005,8,2,5.16087482136163,2.040578231069575,-3.120296590292055,1.1658664538076788,0.3211675795005199,3.6300876184975936,Kern
9,32,0.4,0.0001,4,2,9.4401212047626,2.042111972969512,-7.398009231793088,0.6307304240804366,1.7517647756513988,0.3600542908769801,Kern
6,32,0.2,0.0001,6,1,10.034734509849768,2.042330132092099,-7.992404377757669,2.6545225325122406,4.662766479788639,0.5693020536238754,Kern
9,16,0.1,0.0001,4,2,10.471042996377712,2.059851101098462,-8.411191895279249,0.8256868508685803,1.7517647756513988,0.4713457322268318,Kern
9,32,0.1,0.0001,8,2,10.323426013541395,2.062675724737797,-8.260750288803598,0.46965276747736956,1.7517647756513988,0.26810264369126147,Kern
12,8,0.2,0.0001,8,2,11.005308724615986,2.0628053578282954,-8.94250336678769,0.28534264412989213,0.3211675795005199,0.8884540730221191,Kern
6,32,0.1,0.0001,4,1,9.646775027387896,2.0670379169771484,-7.579737110410748,2.7211079597031573,4.662766479788639,0.5835822942234293,Kern
6,16,0.2,0.001,8,1,7.787015758340973,2.0733397050089497,-5.713676053332024,4.7408429389136515,4.662766479788639,1.016744664238161,Kern
9,32,0.3,0.0001,8,2,10.41868755960371,2.074706813796422,-8.343980745807286,0.758404864805479,1.7517647756513988,0.43293761545323,Kern
12,8,0.2,0.0001,4,1,11.191932737940263,2.08026401502049,-9.111668722919774,0.25948578080414003,0.3211675795005199,0.8079451269885104,Kern
6,64,0.0,0.0001,4,2,7.85482270042076,2.095518290696977,-5.759304409723783,4.160152531098626,4.662766479788639,0.8922069224635937,Kern
12,16,0.2,0.0001,4,1,9.954463046950673,2.095527121396855,-7.858935925553818,0.41108260181173545,0.3211675795005199,1.279962947851248,Kern
12,64,0.0,0.005,8,1,2.719479626159371,2.0960134620639956,-0.6234661640953756,1.3104265284027632,0.3211675795005199,4.080195549129646,Kern
6,8,0.2,0.0005,4,2,8.542418414535005,2.09636218657056,-6.446056227964445,3.7024285092452627,4.662766479788639,0.7940411610347453,Kern
9,16,0.4,0.0001,4,2,10.69504384909556,2.0969494308805467,-8.598094418215013,0.5946467326376869,1.7517647756513988,0.33945581102152583,Kern
