feature,pfi,run,county
PESTICIDE_Total,0.05949226264395796,22,Kern
risk_mentions_rate,0.05851964823081501,22,Kern
EARTHQUAKE_Total,0.027234592774768696,22,Kern
cv_mentions_rate,0.020532545293653004,22,Kern
PRECIP,-0.00024421688301989875,22,Kern
WIND_RunMiles,-0.010944032416093596,22,Kern
WIND_AvgMPH,-0.01275081787757032,22,Kern
AQI_PM25,-0.023144774648748367,22,Kern
Num_Articles,-0.14480008716436243,22,Kern
AQI_PM10,0.12939325053369488,23,Kern
risk_mentions_rate,0.0942438016351137,23,Kern
PRECIP,0.06820118816485177,23,Kern
PESTICIDE_Total,0.05991159239649291,23,Kern
EARTHQUAKE_Total,0.03187521370626689,23,Kern
cv_mentions_rate,0.007855213578276121,23,Kern
WIND_AvgMPH,-0.05531089457411825,23,Kern
Num_Articles,-0.0745688707761451,23,Kern
AQI_PM25,-0.10124181477006094,23,Kern
WIND_RunMiles,-0.10677507081001197,23,Kern
AQI_PM10,0.15406508312653105,24,Kern
cv_mentions_rate,0.0796870257413137,24,Kern
PESTICIDE_Total,0.062199195611096714,24,Kern
risk_mentions_rate,0.059162725428887564,24,Kern
AQI_PM25,0.026961809999769548,24,Kern
EARTHQUAKE_Total,0.025842213887629473,24,Kern
PRECIP,0.0008217594876746559,24,Kern
Num_Articles,-7.621697417814488e-05,24,Kern
WIND_AvgMPH,-0.019154023175478208,24,Kern
WIND_RunMiles,-0.021552247733796437,24,Kern
PESTICIDE_Total,0.11700045396688041,25,Kern
AQI_PM10,0.1128682939544241,25,Kern
EARTHQUAKE_Total,0.009112417131151629,25,Kern
risk_mentions_rate,0.001753747222608959,25,Kern
AQI_PM25,-0.0006613424897534137,25,Kern
WIND_RunMiles,-0.0010649919562722987,25,Kern
cv_mentions_rate,-0.003944612317919094,25,Kern
WIND_AvgMPH,-0.0062398196965787744,25,Kern
PRECIP,-0.012794356438375176,25,Kern
Num_Articles,-0.02452541766065003,25,Kern
risk_mentions_rate,0.07152251268809812,26,Kern
EARTHQUAKE_Total,0.06741445896887338,26,Kern
cv_mentions_rate,0.05302223346091589,26,Kern
AQI_PM10,0.04518283922018068,26,Kern
PRECIP,0.0445856710393881,26,Kern
Num_Articles,0.030149456967325516,26,Kern
PESTICIDE_Total,0.02956662718572678,26,Kern
AQI_PM25,0.006936366879343903,26,Kern
WIND_RunMiles,-0.004947926722551732,26,Kern
WIND_AvgMPH,-0.02332184737225723,26,Kern
AQI_PM10,0.19181174840029808,27,Kern
PRECIP,0.06239008462155343,27,Kern
EARTHQUAKE_Total,0.043758318273167396,27,Kern
PESTICIDE_Total,0.013271238388669004,27,Kern
risk_mentions_rate,-0.011627412466986564,27,Kern
cv_mentions_rate,-0.017612977793961093,27,Kern
WIND_RunMiles,-0.018342810251807562,27,Kern
WIND_AvgMPH,-0.04389597819257057,27,Kern
Num_Articles,-0.09294665306833122,27,Kern
AQI_PM25,-0.09648529451090426,27,Kern
cv_mentions_rate,0.09214784663186182,28,Kern
AQI_PM10,0.0919957888597367,28,Kern
risk_mentions_rate,0.059260175752895716,28,Kern
EARTHQUAKE_Total,0.04863095913305909,28,Kern
PESTICIDE_Total,0.023460804887988962,28,Kern
AQI_PM25,0.005532659483013125,28,Kern
PRECIP,-0.003323589723024989,28,Kern
WIND_AvgMPH,-0.01455070575785089,28,Kern
WIND_RunMiles,-0.04136676512976445,28,Kern
Num_Articles,-0.0723121392760448,28,Kern
AQI_PM10,0.09480674583452553,29,Kern
PESTICIDE_Total,0.05867213466976007,29,Kern
cv_mentions_rate,0.058052289719737415,29,Kern
risk_mentions_rate,0.04123683834461522,29,Kern
EARTHQUAKE_Total,0.0,29,Kern
PRECIP,-0.033574426668986024,29,Kern
WIND_AvgMPH,-0.07303896014009031,29,Kern
WIND_RunMiles,-0.08317104372854622,29,Kern
AQI_PM25,-0.09144072127201347,29,Kern
Num_Articles,-0.23483521991885647,29,Kern
PESTICIDE_Total,0.15265713270364778,30,Kern
AQI_PM10,0.11723949268469958,30,Kern
cv_mentions_rate,0.07785468363641707,30,Kern
risk_mentions_rate,0.053473907928190345,30,Kern
AQI_PM25,0.010791531002589061,30,Kern
EARTHQUAKE_Total,0.00981657986789286,30,Kern
WIND_AvgMPH,-0.014078607249326303,30,Kern
WIND_RunMiles,-0.03150233169608613,30,Kern
Num_Articles,-0.035425616737606636,30,Kern
PRECIP,-0.037134514399650376,30,Kern
AQI_PM10,0.08304087004831062,31,Kern
PESTICIDE_Total,0.0553849898772073,31,Kern
EARTHQUAKE_Total,0.045984411081138266,31,Kern
risk_mentions_rate,0.03576504568062455,31,Kern
cv_mentions_rate,0.014142077523809249,31,Kern
PRECIP,-0.007586650613836565,31,Kern
WIND_RunMiles,-0.028119635228497475,31,Kern
AQI_PM25,-0.03479693310635934,31,Kern
WIND_AvgMPH,-0.04179005513076833,31,Kern
Num_Articles,-0.04344362637227439,31,Kern
AQI_PM25,0.14828781627624604,32,Kern
AQI_PM10,0.1019455826306171,32,Kern
PESTICIDE_Total,0.09526182211901896,32,Kern
cv_mentions_rate,0.07100048674792803,32,Kern
EARTHQUAKE_Total,0.03494122830756591,32,Kern
WIND_RunMiles,0.02875870930072616,32,Kern
Num_Articles,0.005019063209915298,32,Kern
risk_mentions_rate,-0.010838970972140705,32,Kern
WIND_AvgMPH,-0.03161389077348514,32,Kern
PRECIP,-0.060666548970522205,32,Kern
