feature,pfi,run,county
PESTICIDE_Total,0.014398428483455017,18,Fresno
EARTHQUAKE_Total,-0.003810631421095667,18,Fresno
cv_mentions_rate,-0.0077674802939363685,18,Fresno
AQI_PM25,-0.015873344531673106,18,Fresno
AQI_PM10,-0.02458642302968239,18,Fresno
WIND_AvgMPH,-0.028066571518590544,18,Fresno
WIND_RunMiles,-0.060938394816601515,18,Fresno
Num_Articles,-0.06161127195203164,18,Fresno
FIRE_Acres_Burned,0.2368184004940751,19,Fresno
AQI_PM25,0.038440385015299006,19,Fresno
cv_mentions_rate,0.030348961707764577,19,Fresno
PESTICIDE_Total,0.029867589546500317,19,Fresno
PRECIP,0.027462263457822822,19,Fresno
EARTHQUAKE_Total,0.005119269092291379,19,Fresno
AQI_PM10,0.0010510770953678916,19,Fresno
WIND_RunMiles,-0.021965550877042828,19,Fresno
Num_Articles,-0.02683908653049094,19,Fresno
risk_mentions_rate,-0.03752547578201365,19,Fresno
WIND_AvgMPH,-0.05257683202621333,19,Fresno
FIRE_Acres_Burned,0.1556643586682691,20,Fresno
cv_mentions_rate,0.02927427044528963,20,Fresno
PRECIP,0.009329576234061387,20,Fresno
risk_mentions_rate,0.004718271440800392,20,Fresno
EARTHQUAKE_Total,0.0,20,Fresno
AQI_PM25,-0.004589207579086263,20,Fresno
PESTICIDE_Total,-0.007516505853561561,20,Fresno
AQI_PM10,-0.024898880563392012,20,Fresno
WIND_AvgMPH,-0.037265318785328516,20,Fresno
Num_Articles,-0.056985035928783345,20,Fresno
WIND_RunMiles,-0.0969166241132588,20,Fresno
FIRE_Acres_Burned,0.21181569074949652,21,Fresno
cv_mentions_rate,0.018341320650664794,21,Fresno
EARTHQUAKE_Total,0.013252300362621705,21,Fresno
PRECIP,0.010262413509945278,21,Fresno
PESTICIDE_Total,-0.006689935175393014,21,Fresno
AQI_PM10,-0.008951492219838875,21,Fresno
AQI_PM25,-0.011134146026176683,21,Fresno
Num_Articles,-0.015530460304146398,21,Fresno
risk_mentions_rate,-0.03562773267942421,21,Fresno
WIND_AvgMPH,-0.0530371212025037,21,Fresno
WIND_RunMiles,-0.10101600810064171,21,Fresno
FIRE_Acres_Burned,0.0615651469615911,22,Fresno
risk_mentions_rate,0.04701228655666656,22,Fresno
PESTICIDE_Total,0.033447880240004835,22,Fresno
PRECIP,0.031473770241179255,22,Fresno
AQI_PM25,0.027649502613638133,22,Fresno
EARTHQUAKE_Total,0.027258629636698062,22,Fresno
cv_mentions_rate,0.01639467034425207,22,Fresno
AQI_PM10,-0.015765310709574765,22,Fresno
WIND_RunMiles,-0.01881502528543999,22,Fresno
WIND_AvgMPH,-0.04933148658358044,22,Fresno
Num_Articles,-0.07221249635343474,22,Fresno
FIRE_Acres_Burned,0.2639438426548224,23,Fresno
PESTICIDE_Total,0.03242359280801077,23,Fresno
Num_Articles,0.02848103779001343,23,Fresno
cv_mentions_rate,0.02025988413537949,23,Fresno
PRECIP,0.013837348527811988,23,Fresno
risk_mentions_rate,0.013042926032458657,23,Fresno
EARTHQUAKE_Total,0.0,23,Fresno
AQI_PM25,-0.0016287635448236082,23,Fresno
AQI_PM10,-0.046521785108265934,23,Fresno
WIND_RunMiles,-0.070787843083776,23,Fresno
WIND_AvgMPH,-0.07435723582991222,23,Fresno
