seq_length,hidden_size,dropout,lr,batch_size,num_layers,train_rmse,test_rmse,rmse_gap,test_pred_std,test_actual_std,test_std_ratio
12,8,0.4,0.001,8,2,10.104263305664062,1.7150813341140747,-8.389181971549988,0.0034594133030623198,0.32116708159446716,0.010771381942033737
12,8,0.0,0.001,8,2,10.055814743041992,1.716641902923584,-8.339172840118408,0.0656108409166336,0.32116708159446716,0.2042888100203228
12,32,0.1,0.005,8,2,9.46431827545166,1.7249945402145386,-7.739323735237122,0.12221305072307587,0.32116708159446716,0.38052794861894484
9,32,0.2,0.0001,8,1,10.240589141845703,1.7414292097091675,-8.499159932136536,0.45198553800582886,1.7517644166946411,0.2580173074063627
9,16,0.0,0.0001,8,2,9.917630195617676,1.750321626663208,-8.167308568954468,0.4177095293998718,1.7517644166946411,0.23845074452878606
9,32,0.0,0.0001,16,1,10.351633071899414,1.7620625495910645,-8.58957052230835,0.9523261785507202,1.7517644166946411,0.5436382709198077
9,16,0.2,0.0005,16,1,10.062286376953125,1.762147068977356,-8.300139307975769,0.569082498550415,1.7517644166946411,0.324862460458126
9,16,0.1,0.0001,8,1,10.151994705200195,1.7779862880706787,-8.374008417129517,0.8215041160583496,1.7517644166946411,0.4689581020308795
9,64,0.3,0.0001,16,1,9.693960189819336,1.781463861465454,-7.912496328353882,0.8068661689758301,1.7517644166946411,0.4606019857957184
9,8,0.1,0.0005,8,1,9.557425498962402,1.7932074069976807,-7.764218091964722,0.8609442710876465,1.7517644166946411,0.4914726334675412
12,16,0.4,0.0005,16,1,9.955788612365723,1.795046091079712,-8.16074252128601,0.6945645213127136,0.32116708159446716,2.162626748247287
9,8,0.1,0.001,8,1,8.652021408081055,1.7997723817825317,-6.852249026298523,1.5392602682113647,1.7517644166946411,0.878691365997578
12,64,0.3,0.0001,8,1,10.107131004333496,1.8086384534835815,-8.298492550849915,0.2694431245326996,0.32116708159446716,0.838950004449464
9,32,0.3,0.0005,4,2,10.504590034484863,1.8354073762893677,-8.669182658195496,1.634993553161621,1.7517644166946411,0.9333410004106877
12,8,0.0,0.0001,8,2,10.170716285705566,1.8458137512207031,-8.324902534484863,0.1330775022506714,0.32116708159446716,0.41435598439913074
9,8,0.0,0.0001,4,2,9.955493927001953,1.851054072380066,-8.104439854621887,0.1045253798365593,1.7517644166946411,0.05966862829294451
12,32,0.2,0.0001,16,1,10.255175590515137,1.8582966327667236,-8.396878957748413,0.4121752977371216,0.32116708159446716,1.283367198440247
9,16,0.2,0.005,16,2,9.124739646911621,1.8591443300247192,-7.265595316886902,0.43013548851013184,1.7517644166946411,0.2455441407593741
9,16,0.0,0.0001,16,2,9.956260681152344,1.8683956861495972,-8.087864995002747,0.2318829894065857,1.7517644166946411,0.13237110378353253
12,8,0.3,0.005,4,2,7.470345497131348,1.8772311210632324,-5.593114376068115,1.355499267578125,0.32116708159446716,4.220542344653159
12,16,0.3,0.001,4,2,10.427504539489746,1.8795644044876099,-8.547940135002136,0.7697834968566895,0.32116708159446716,2.396831870299471
9,32,0.4,0.0001,4,1,9.937623023986816,1.8798595666885376,-8.057763457298279,1.1306025981903076,1.7517644166946411,0.6454079026925392
9,32,0.1,0.005,8,2,8.59627914428711,1.8835521936416626,-6.712726950645447,0.6327002048492432,1.7517644166946411,0.3611788199483289
9,32,0.0,0.0001,16,2,10.043787002563477,1.893560528755188,-8.150226473808289,0.31404441595077515,1.7517644166946411,0.17927320189739748
12,64,0.4,0.0001,16,1,10.172142028808594,1.9045324325561523,-8.267609596252441,0.20291785895824432,0.32116708159446716,0.6318140014563063
9,16,0.4,0.0005,16,1,9.835501670837402,1.9062256813049316,-7.929275989532471,0.5842247009277344,1.7517644166946411,0.3335064323489872
