Log_Rate,Num_Articles_lag3,cv_mentions_rate_lag3,risk_mentions_rate_lag3,County,Season,Year-Month
2.512008653,7,2.333333333,3.888888889,Kern,Winter,2012-12
2.729853301,6,0.166666667,2.166666667,Kern,Winter,2013-01
2.557512154,7,3.333333333,2.5,Kern,Winter,2013-02
2.539437107,3,1.75,4.5,Kern,Spring,2013-03
2.766852688,6,0,0.4,Kern,Spring,2013-04
3.097803537,7,0.571428571,0.142857143,Kern,Spring,2013-05
2.823343826,7,0,0.4,Kern,Summer,2013-06
2.863711819,3,1.5,1,Kern,Summer,2013-07
2.816454507,11,3.555555556,3.444444444,Kern,Summer,2013-08
2.759561517,8,1.222222222,3.333333333,Kern,Fall,2013-09
2.958030734,9,0.8,1.2,Kern,Fall,2013-10
3.071368341,9,2.111111111,2.333333333,Kern,Fall,2013-11
2.816454507,8,1,0.714285714,Kern,Winter,2013-12
2.721365436,8,0.142857143,1.285714286,Kern,Winter,2014-01
2.575632045,5,8.25,0.25,Kern,Winter,2014-02
2.04859024,3,0,0,Kern,Spring,2014-03
2.04859024,4,4,5.5,Kern,Spring,2014-04
2.186299005,6,0.571428571,0.142857143,Kern,Spring,2014-05
2.018617251,12,0.666666667,1.666666667,Kern,Summer,2014-06
2.033716039,6,0.5,1.875,Kern,Summer,2014-07
2.284258456,6,0,0.5,Kern,Summer,2014-08
2.160232697,5,1.2,0.4,Kern,Fall,2014-09
2.133468709,12,1,1.1,Kern,Fall,2014-10
2.272525603,11,2.222222222,1.333333333,Kern,Fall,2014-11
2.474843481,8,1.25,3,Kern,Winter,2014-12
2.125937718,7,0.571428571,0.571428571,Kern,Winter,2015-01
1.864142441,4,0,5,Kern,Winter,2015-02
1.948499951,7,0,1.666666667,Kern,Spring,2015-03
1.932188156,8,0,3,Kern,Spring,2015-04
1.809886149,7,2.428571429,12.28571429,Kern,Spring,2015-05
2.041149203,6,2.75,2.625,Kern,Summer,2015-06
2.299626034,5,0.222222222,1.888888889,Kern,Summer,2015-07
2.593533401,13,0,1.454545455,Kern,Summer,2015-08
2.792958307,9,1.4,1.8,Kern,Fall,2015-09
2.885859143,7,1,0.75,Kern,Fall,2015-10
2.847096275,11,0.2,1.9,Kern,Fall,2015-11
2.820393611,10,0,1.5,Kern,Winter,2015-12
